"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC4A1",0,1.48586413010007,0.547,0.001,0,"18","SLC4A1"
"ADIPOR12",0,1.47564825756282,0.73,0.174,0,"18","ADIPOR1"
"FAM210B",0,1.46792639556981,0.677,0.086,0,"18","FAM210B"
"STRADB",0,1.44892784088892,0.63,0.048,0,"18","STRADB"
"MPP14",0,1.40831905166686,0.666,0.116,0,"18","MPP1"
"GYPC3",0,1.38870984931661,0.836,0.507,0,"18","GYPC"
"FBXO71",0,1.3866344784875,0.762,0.262,0,"18","FBXO7"
"FECH",0,1.35439700037269,0.559,0.03,0,"18","FECH"
"RBM384",0,1.32909879998141,0.722,0.317,0,"18","RBM38"
"FKBP81",0,1.32837362526029,0.839,0.458,0,"18","FKBP8"
"GMPR1",0,1.29138912695209,0.575,0.013,0,"18","GMPR"
"BSG3",0,1.25489934419984,0.71,0.331,0,"18","BSG"
"BCL2L1",0,1.21233223343877,0.589,0.051,0,"18","BCL2L1"
"GSPT1",0,1.07090606326347,0.689,0.271,0,"18","GSPT1"
"HEMGN",0,1.06478388111712,0.388,0.011,0,"18","HEMGN"
"LGALS35",0,1.05726830961328,0.71,0.267,0,"18","LGALS3"
"RNF101",0,1.02087395049257,0.668,0.204,0,"18","RNF10"
"EPB42",0,0.963601363395314,0.422,0,0,"18","EPB42"
"GREM1",0,0.943828525911216,0.355,0.031,0,"18","GREM1"
"MXI1",0,0.942206398626829,0.663,0.199,0,"18","MXI1"
"TRIM58",0,0.889824695951355,0.426,0.011,0,"18","TRIM58"
"DMTN1",0,0.857678985514179,0.466,0.029,0,"18","DMTN"
"HAGH1",0,0.83167014927116,0.631,0.229,0,"18","HAGH"
"CDC34",0,0.803488409900618,0.498,0.098,0,"18","CDC34"
"KRT1",0,0.744612493108556,0.3,0.009,0,"18","KRT1"
"HBQ1",0,0.638002819240585,0.332,0.003,0,"18","HBQ1"
"NFIX",0,0.637329239717388,0.339,0.02,0,"18","NFIX"
"PDZK1IP11",0,0.607278710286865,0.317,0.008,0,"18","PDZK1IP1"
"MYL4",0,0.568649419555908,0.265,0.001,0,"18","MYL4"
"TSPAN5",0,0.502036228943603,0.328,0.048,0,"18","TSPAN5"
"TMOD1",0,0.484481904197982,0.269,0.006,0,"18","TMOD1"
"NCOA44",2.33997031305309e-304,0.895006113114032,0.637,0.256,5.45634277597719e-300,"18","NCOA4"
"MARCH8",7.02963549158203e-301,0.47834242407882,0.364,0.087,1.6391704039271e-296,"18","MARCH8"
"MAP2K36",5.86295879694884e-296,0.816282678493931,0.604,0.222,1.36712473227253e-291,"18","MAP2K3"
"PITHD1",2.37797778296098e-293,1.12989298531096,0.618,0.248,5.5449685943084e-289,"18","PITHD1"
"DPM2",1.34041063712714e-291,0.519042605391315,0.41,0.11,3.12556952365306e-287,"18","DPM2"
"FAM104A",6.16743344221989e-271,0.427519462049967,0.366,0.094,1.43812213005683e-266,"18","FAM104A"
"BAG14",7.41365890967237e-269,0.815881471903373,0.693,0.299,1.7287169845574e-264,"18","BAG1"
"RPIA",1.42515170881191e-257,0.505395297018933,0.466,0.144,3.32316875460761e-253,"18","RPIA"
"TENT5C6",1.10699031962663e-255,0.677042612956086,0.566,0.194,2.58128002730538e-251,"18","TENT5C"
"GUK14",2.12154567282415e-232,0.969936887790022,0.865,0.67,4.94702019989134e-228,"18","GUK1"
"RIOK34",4.42117111224313e-220,0.73570308067461,0.65,0.287,1.03092867995285e-215,"18","RIOK3"
"PINK1",6.40990060339008e-210,0.297941253713501,0.285,0.073,1.4946606226985e-205,"18","PINK1"
"GLUL4",4.99813149241475e-208,0.514397173526077,0.547,0.208,1.16546430140127e-203,"18","GLUL"
"TESC3",3.44932942435936e-203,0.398459361303613,0.386,0.122,8.04314635172115e-199,"18","TESC"
"PSMF1",4.18302240953798e-202,0.634310902910053,0.569,0.234,9.75397165456065e-198,"18","PSMF1"
"ISCA11",2.40692509960312e-198,0.647165058656583,0.567,0.235,5.61246794725456e-194,"18","ISCA1"
"R3HDM42",8.30254093080067e-192,0.547777146040195,0.517,0.204,1.9359864942441e-187,"18","R3HDM4"
"LYL16",1.37426652291515e-166,0.402185594518246,0.406,0.146,3.20451467813354e-162,"18","LYL1"
"RNF112",2.51934610452328e-142,0.274550584980746,0.341,0.119,5.87461124652739e-138,"18","RNF11"
"EIF2AK11",1.89542591117742e-129,0.409301953863035,0.449,0.189,4.41975413968351e-125,"18","EIF2AK1"
"CISD21",5.6586666327274e-125,0.324377825739337,0.332,0.123,1.31948788541938e-120,"18","CISD2"
"UBXN6",6.22093289478502e-125,0.278993581934555,0.337,0.124,1.45059713240597e-120,"18","UBXN6"
"ASCC2",7.48978614326149e-119,0.315418034443378,0.381,0.151,1.74646833288572e-114,"18","ASCC2"
"UBE2H1",1.81623450182769e-118,0.501910477586804,0.445,0.198,4.2350956113618e-114,"18","UBE2H"
"GABARAPL23",2.89803860424997e-112,0.673546536772726,0.716,0.484,6.75764641739008e-108,"18","GABARAPL2"
"GUCD12",2.28595470987244e-106,0.250782464517513,0.294,0.109,5.33038919248056e-102,"18","GUCD1"
"CCNDBP11",4.3116062718703e-99,0.556689041852983,0.548,0.297,1.00538035047472e-94,"18","CCNDBP1"
"CREG14",1.87344540181356e-93,0.287716316602654,0.325,0.136,4.36849998794886e-89,"18","CREG1"
"CHPT15",2.00535453803993e-90,0.278745760431734,0.371,0.163,4.6760857118015e-86,"18","CHPT1"
"EIF1B3",1.17772673847662e-80,0.478714888351697,0.657,0.405,2.74622320877978e-76,"18","EIF1B"
"EMC31",1.79159929929577e-75,0.325358163017647,0.509,0.269,4.17765124609789e-71,"18","EMC3"
"SIAH22",3.48788343039306e-73,0.343904886646632,0.458,0.238,8.13304658299055e-69,"18","SIAH2"
"PRDX24",2.0775692660581e-62,0.606832231913918,0.639,0.441,4.84447601459428e-58,"18","PRDX2"
"PIP4K2A4",4.4269346449208e-55,0.298389606446348,0.618,0.375,1.03227262050263e-50,"18","PIP4K2A"
"PIM1",6.25624261372108e-55,0.325223366846391,0.432,0.231,1.45883065266748e-50,"18","PIM1"
"EPB413",4.28607055776384e-52,0.427775549351094,0.702,0.456,9.99425932659373e-48,"18","EPB41"
"SNX38",3.91923302699375e-39,0.251455225127199,0.713,0.508,9.13886757234403e-35,"18","SNX3"
"PRDX62",1.37117626679714e-37,0.276519395383788,0.625,0.445,3.19730881891757e-33,"18","PRDX6"
"C9orf781",2.99991256242475e-37,0.276462914293397,0.69,0.483,6.99519611306204e-33,"18","C9orf78"
"RAD23A",1.42647512671491e-24,0.277397666139759,0.525,0.358,3.32625470047382e-20,"18","RAD23A"
"ISG154",0,2.29166148850895,0.894,0.351,0,"19","ISG15"
"IFI63",0,1.93282557074463,0.752,0.214,0,"19","IFI6"
"IFI44L",0,1.90477308888167,0.739,0.08,0,"19","IFI44L"
"MX12",0,1.86841263415083,0.784,0.15,0,"19","MX1"
"XAF12",0,1.51072148024618,0.767,0.232,0,"19","XAF1"
"EIF2AK2",0,1.32953667220687,0.708,0.226,0,"19","EIF2AK2"
"STAT13",0,1.2614141189266,0.684,0.257,0,"19","STAT1"
"LY6E3",0,1.23209095839106,0.887,0.534,0,"19","LY6E"
"IFIT31",0,1.22201406220732,0.415,0.044,0,"19","IFIT3"
"EPSTI12",0,1.05053039859455,0.525,0.118,0,"19","EPSTI1"
"IFI44",0,1.02126355678916,0.509,0.089,0,"19","IFI44"
"HERC5",0,0.963052826783246,0.421,0.063,0,"19","HERC5"
"OAS14",0,0.930771347457977,0.465,0.12,0,"19","OAS1"
"MX23",0,0.919029824790317,0.536,0.17,0,"19","MX2"
"OAS3",0,0.83789478981668,0.394,0.055,0,"19","OAS3"
"IFIT1",0,0.832458752592019,0.32,0.021,0,"19","IFIT1"
"RSAD2",0,0.811054557734464,0.295,0.021,0,"19","RSAD2"
"CMPK2",0,0.761077434761537,0.33,0.03,0,"19","CMPK2"
"OAS21",4.52940906963251e-292,0.722897704607765,0.381,0.095,1.05616760685691e-287,"19","OAS2"
"DDX60",1.68243493350817e-289,0.66910006635806,0.311,0.066,3.92310177795436e-285,"19","DDX60"
"SAMD9L",2.60335764172046e-285,0.912595421053337,0.5,0.154,6.07050934896378e-281,"19","SAMD9L"
"IRF73",9.36929552968679e-276,0.793906933621239,0.493,0.155,2.18473233161236e-271,"19","IRF7"
"PARP91",3.71809051273341e-272,0.749645065911697,0.421,0.118,8.66984345759177e-268,"19","PARP9"
"HELZ2",2.61939351704281e-242,0.702242943169792,0.353,0.093,6.10790180304042e-238,"19","HELZ2"
"ISG206",1.27571853626652e-226,1.11796599701079,0.838,0.49,2.97472048286627e-222,"19","ISG20"
"GBP12",6.83719470686455e-203,0.85236442882959,0.42,0.14,1.59429706174668e-198,"19","GBP1"
"SAMD91",1.34090641681589e-160,0.767003287972152,0.515,0.22,3.1267255827313e-156,"19","SAMD9"
"DDX60L1",1.28227523930992e-142,0.597021479121654,0.355,0.128,2.99000940302287e-138,"19","DDX60L"
"LTB6",2.95697061021801e-140,0.75488740754678,0.943,0.674,6.89506406890636e-136,"19","LTB"
"TRIM221",5.06464558056685e-140,0.744598030050404,0.549,0.269,1.18097405647658e-135,"19","TRIM22"
"SP1002",1.18773353838924e-136,0.761113446312607,0.734,0.459,2.76955706481603e-132,"19","SP100"
"IFI353",4.90709853527885e-132,0.623231346052818,0.4,0.164,1.14423723645632e-127,"19","IFI35"
"PNPT1",1.13316555633624e-126,0.486510783726871,0.268,0.086,2.64231544426484e-122,"19","PNPT1"
"LDHB6",1.86824969213904e-124,0.604265586882144,0.929,0.695,4.35638463212982e-120,"19","LDHB"
"IL7R5",7.0567419843751e-124,0.697385531907114,0.843,0.511,1.64549109591659e-119,"19","IL7R"
"IFI163",6.79725663883482e-119,0.711785029512431,0.632,0.36,1.5849843030435e-114,"19","IFI16"
"TMEM1234",2.46236045339083e-110,0.621050608756065,0.78,0.544,5.74173210521674e-106,"19","TMEM123"
"IRF91",5.31724366546218e-107,0.54695426613636,0.501,0.244,1.23987487791247e-102,"19","IRF9"
"TRAC8",3.01878833875745e-105,0.622985785536582,0.838,0.538,7.03921064831462e-101,"19","TRAC"
"MT2A5",9.5361333436353e-104,0.84771310554806,0.554,0.31,2.22363557306888e-99,"19","MT2A"
"UBE2L63",2.7959286675748e-103,0.60475837519222,0.531,0.286,6.51954646705092e-99,"19","UBE2L6"
"IFITM12",3.03158116375355e-103,0.722221018419704,0.541,0.28,7.06904095764053e-99,"19","IFITM1"
"SP1104",1.88712774811406e-100,0.624221814842675,0.642,0.395,4.40040448305237e-96,"19","SP110"
"TPT13",2.37163917665772e-100,0.308344965829899,1,0.997,5.53018823213048e-96,"19","TPT1"
"C19orf661",1.05774890231256e-98,0.56456279742267,0.443,0.213,2.46645889041242e-94,"19","C19orf66"
"LAP35",3.60238065943393e-91,0.511164098835748,0.409,0.198,8.40003122166804e-87,"19","LAP3"
"CD3D8",1.92753485876506e-87,0.488799980889567,0.875,0.574,4.49462578366836e-83,"19","CD3D"
"RNF2132",8.77516055345596e-87,0.625522130984972,0.794,0.61,2.04619193785486e-82,"19","RNF213"
"SLFN54",2.29805524432644e-84,0.580201850597043,0.533,0.296,5.3586052187204e-80,"19","SLFN5"
"TRAT12",2.93920863475165e-84,0.458169150568264,0.377,0.171,6.85364669451391e-80,"19","TRAT1"
"ADAR",4.28246810860915e-84,0.569512034794373,0.657,0.436,9.98585913565482e-80,"19","ADAR"
"CD696",8.72236872549504e-83,0.637787728981388,0.864,0.662,2.03388193941093e-78,"19","CD69"
"PHF11",1.09921820048703e-82,0.526219279507245,0.427,0.217,2.56315699989566e-78,"19","PHF11"
"DTX3L",2.23308678714268e-81,0.414315970950787,0.263,0.106,5.2071117702593e-77,"19","DTX3L"
"TCF75",2.36414320080194e-81,0.505045565539356,0.705,0.446,5.51270911562997e-77,"19","TCF7"
"PLSCR14",5.14164735895112e-79,0.5115353757067,0.317,0.146,1.19892933116022e-74,"19","PLSCR1"
"PPM1K3",1.08031774524411e-78,0.496515695445981,0.415,0.206,2.51908491836022e-74,"19","PPM1K"
"GBP41",3.57230178430063e-76,0.501139242798309,0.336,0.155,8.32989330063221e-72,"19","GBP4"
"GIMAP74",5.94775533159641e-76,0.516022873152049,0.719,0.467,1.38689758822165e-71,"19","GIMAP7"
"RPS63",3.26661417635257e-75,0.323927914895354,0.999,0.988,7.61709093641893e-71,"19","RPS6"
"PARP145",2.02556676071586e-73,0.540669020184643,0.476,0.268,4.72321657263724e-69,"19","PARP14"
"RPL303",2.08876565768796e-73,0.280352995923229,0.999,0.992,4.87058376059679e-69,"19","RPL30"
"RPL364",2.16961920743362e-72,0.319155453901896,0.998,0.982,5.0591180678937e-68,"19","RPL36"
"CD26",1.38135384820913e-69,0.486536463862769,0.675,0.423,3.22104090325404e-65,"19","CD2"
"RPS123",5.22654933102793e-69,0.306221243299896,1,0.993,1.21872677300909e-64,"19","RPS12"
"TRADD1",4.49112711575134e-68,0.496646947183944,0.46,0.259,1.0472410208509e-63,"19","TRADD"
"RPL323",1.70140900670544e-67,0.2847547532585,0.999,0.991,3.96734552183574e-63,"19","RPL32"
"RCAN34",7.75436722636933e-67,0.438917027923632,0.601,0.363,1.8081633498448e-62,"19","RCAN3"
"RPS253",1.49672250366585e-66,0.296008406795773,0.999,0.987,3.49005753404802e-62,"19","RPS25"
"CD481",2.58746050930513e-65,0.358970390677036,0.964,0.903,6.0334404155977e-61,"19","CD48"
"LEF14",5.34008704497983e-65,0.405716493321865,0.423,0.22,1.2452014971484e-60,"19","LEF1"
"BST26",2.75035696125765e-64,0.543469571906763,0.653,0.462,6.41328236226059e-60,"19","BST2"
"RPS184",1.88192735776799e-63,0.303071081635711,1,0.99,4.3882782128434e-59,"19","RPS18"
"RPL114",1.16876035729867e-62,0.251504231530268,0.999,0.991,2.72531540114903e-58,"19","RPL11"
"FYB17",2.12089246559981e-62,0.428537442775088,0.899,0.737,4.94549705128565e-58,"19","FYB1"
"PSME26",3.07114794883422e-62,0.43429019395283,0.782,0.593,7.16130278709163e-58,"19","PSME2"
"GPR1551",5.26111163329347e-62,0.483538964794335,0.314,0.152,1.22678601065137e-57,"19","GPR155"
"CD3E8",4.0117099562709e-61,0.38924038310881,0.841,0.568,9.35450527603249e-57,"19","CD3E"
"MAL4",5.22457559203222e-61,0.426033232482165,0.448,0.244,1.21826653655007e-56,"19","MAL"
"ZCCHC2",2.01214394159561e-60,0.351524694030214,0.282,0.131,4.69191724301265e-56,"19","ZCCHC2"
"INPP4B2",2.50696724608776e-60,0.377509555923083,0.359,0.18,5.84574622442745e-56,"19","INPP4B"
"NMI3",4.31983376475059e-60,0.400245650723765,0.363,0.193,1.00729883726454e-55,"19","NMI"
"N4BP1",5.08321372221569e-59,0.432392681656117,0.377,0.204,1.18530377574625e-54,"19","N4BP1"
"CD3G8",9.74366531112002e-59,0.365773068165978,0.77,0.502,2.27202787724697e-54,"19","CD3G"
"AP3M22",2.05269753655842e-58,0.411249925569097,0.368,0.19,4.78648011574691e-54,"19","AP3M2"
"SMCHD14",2.81128891827043e-58,0.489588138663069,0.767,0.587,6.55536349962299e-54,"19","SMCHD1"
"PARP101",3.52140328854186e-57,0.342218365872514,0.268,0.124,8.21120818822191e-53,"19","PARP10"
"RPL13A5",3.57430488129772e-57,0.267149666686878,0.999,0.988,8.33456412221003e-53,"19","RPL13A"
"HSPA83",9.94950141945139e-57,0.412425363223524,0.908,0.792,2.32002474098768e-52,"19","HSPA8"
"RPS204",2.19294388730285e-56,0.283867405239691,0.998,0.968,5.11350655641278e-52,"19","RPS20"
"SARAF4",1.06270379287215e-55,0.34248289337498,0.959,0.877,2.47801270421928e-51,"19","SARAF"
"RPL143",1.11285400374495e-55,0.252480938773533,0.999,0.987,2.59495296593247e-51,"19","RPL14"
"RPS85",1.85895508581079e-55,0.261474131552978,0.998,0.988,4.3347114690936e-51,"19","RPS8"
"RPL134",8.2073029528148e-54,0.257470104056146,1,0.993,1.91377890253736e-49,"19","RPL13"
"TNFSF103",5.77315516992233e-53,0.570507136018911,0.414,0.246,1.34618432252249e-48,"19","TNFSF10"
"APOL61",6.49010823044925e-52,0.409679207884272,0.427,0.252,1.51336343717616e-47,"19","APOL6"
"NUB11",2.12094216835955e-51,0.411831926509816,0.457,0.276,4.9456129481808e-47,"19","NUB1"
"STAT24",3.47978629803699e-51,0.384175532115679,0.304,0.16,8.11416568976265e-47,"19","STAT2"
"TESPA13",7.7464872365535e-51,0.327249035470248,0.297,0.147,1.80632589381955e-46,"19","TESPA1"
"RPL23A4",3.73700919050962e-50,0.256166054806561,0.998,0.987,8.71395803043033e-46,"19","RPL23A"
"CCR72",6.30573201159413e-49,0.415912467381081,0.383,0.213,1.47037059046352e-44,"19","CCR7"
"IL326",1.24921665642227e-48,0.342762600040492,0.838,0.579,2.91292339944545e-44,"19","IL32"
"CD283",1.40357255835554e-48,0.326566022117043,0.26,0.125,3.27285049157346e-44,"19","CD28"
"NOSIP4",2.7364465230943e-48,0.395282542676185,0.695,0.498,6.38084600255128e-44,"19","NOSIP"
"CYLD4",3.81047839556447e-48,0.406375262011892,0.651,0.468,8.88527352277722e-44,"19","CYLD"
"RPS4X3",8.02911942293819e-48,0.252464065794081,0.999,0.989,1.87223006704073e-43,"19","RPS4X"
"BICDL13",1.00745822729315e-47,0.373767734650549,0.32,0.168,2.34919109440218e-43,"19","BICDL1"
"PSMB94",1.61412372820906e-47,0.431220235108124,0.711,0.561,3.76381370943788e-43,"19","PSMB9"
"BCL11B6",2.09524085423018e-47,0.355624450312119,0.534,0.327,4.88568262389393e-43,"19","BCL11B"
"AQP35",7.02911914266251e-47,0.381779991841182,0.342,0.185,1.63905000168605e-42,"19","AQP3"
"CD276",7.08306099655005e-47,0.369839106585989,0.495,0.303,1.65162816317554e-42,"19","CD27"
"RBCK1",1.87544911804884e-46,0.398997374786793,0.473,0.301,4.37317225346629e-42,"19","RBCK1"
"RPS216",4.52510265288166e-46,0.265914368916915,0.995,0.977,1.05516343659895e-41,"19","RPS21"
"EVL6",4.5320620667022e-46,0.351808560861235,0.839,0.673,1.05678623271362e-41,"19","EVL"
"SUSD3",4.57857936812953e-46,0.289280950071182,0.273,0.136,1.06763313706044e-41,"19","SUSD3"
"RPL384",4.79901179190349e-46,0.274066495187935,0.997,0.964,1.11903356963606e-41,"19","RPL38"
"DRAP12",6.73852670252744e-45,0.38233213416338,0.69,0.512,1.57128965649535e-40,"19","DRAP1"
"GIMAP41",1.35617463296666e-44,0.394699815417548,0.526,0.35,3.16232800915166e-40,"19","GIMAP4"
"RPS276",9.35110142252901e-44,0.278164413390317,1,0.992,2.18048982970531e-39,"19","RPS27"
"LEPROTL15",2.56726383774714e-43,0.353185869757038,0.746,0.556,5.98634581685878e-39,"19","LEPROTL1"
"ARID5B5",3.90588223420916e-43,0.415872908975067,0.459,0.285,9.10773619372891e-39,"19","ARID5B"
"GIMAP11",1.3611159136147e-42,0.382764638098272,0.538,0.366,3.17385008736675e-38,"19","GIMAP1"
"CHMP52",2.40357253531275e-41,0.326966239096121,0.342,0.2,5.60465043784227e-37,"19","CHMP5"
"NT5C3A2",6.45089176127619e-41,0.310599779012974,0.339,0.197,1.50421894089438e-36,"19","NT5C3A"
"HINT14",6.57168784460561e-41,0.281791282059022,0.953,0.893,1.53238617160514e-36,"19","HINT1"
"HELB",8.24064621863721e-41,0.313083701371419,0.267,0.139,1.92155388526182e-36,"19","HELB"
"TTC39C4",8.2838322337047e-41,0.334293797672604,0.449,0.283,1.93162400025526e-36,"19","TTC39C"
"CD65",2.50005744899327e-40,0.307666846591642,0.396,0.232,5.82963395956251e-36,"19","CD6"
"RHOH6",4.04670685551955e-40,0.338577215380489,0.516,0.333,9.4361110457005e-36,"19","RHOH"
"NPM13",5.09645407913757e-40,0.274413581172678,0.967,0.895,1.1883911621733e-35,"19","NPM1"
"GBP23",5.60789566399436e-40,0.399726567106424,0.42,0.267,1.3076491109302e-35,"19","GBP2"
"ITM2A5",9.82466074739461e-40,0.375539971432631,0.412,0.25,2.29091439307747e-35,"19","ITM2A"
"PIK3IP15",1.46813026119688e-39,0.343145543114773,0.639,0.45,3.42338614305888e-35,"19","PIK3IP1"
"TRBC27",3.74430002429714e-38,0.396422142832283,0.705,0.529,8.73095879665608e-34,"19","TRBC2"
"ARHGAP152",4.0567474799104e-38,0.356014753208867,0.542,0.369,9.45952377365508e-34,"19","ARHGAP15"
